"No.","Provinsi","11/17/2022","11/18/2022","11/21/2022","11/22/2022","11/23/2022","11/24/2022","11/25/2022"
"I","JAWA TIMUR","Rp33,050 ","Rp32,900 ","Rp31,950 ","Rp31,750 ","Rp31,600 ","Rp31,450 ","Rp31,450 "
"1","Kota Blitar","Rp28,000 ","Rp28,500 ","Rp28,250 ","Rp28,150 ","Rp27,250 ","Rp27,250 ","Rp27,500 "
"2","Kota Kediri","Rp29,500 ","Rp29,500 ","Rp29,500 ","Rp29,500 ","Rp29,500 ","Rp29,000 ","Rp29,000 "
"3","Kota Madiun","Rp30,500 ","Rp30,500 ","Rp30,500 ","Rp30,500 ","Rp30,500 ","Rp30,500 ","Rp30,500 "
"4","Kota Malang","Rp33,750 ","Rp33,750 ","Rp32,750 ","Rp32,750 ","Rp32,750 ","Rp32,750 ","Rp32,750 "
"5","Kota Probolinggo","Rp35,000 ","Rp35,000 ","Rp35,000 ","Rp35,000 ","Rp35,000 ","Rp35,000 ","Rp35,000 "
"6","Kota Surabaya","Rp35,750 ","Rp34,250 ","Rp34,250 ","Rp32,250 ","Rp32,500 ","Rp31,750 ","Rp31,750 "
"7","Kab. Banyuwangi","Rp35,750 ","Rp35,750 ","Rp31,750 ","Rp31,750 ","Rp31,750 ","Rp31,750 ","Rp31,750 "
"8","Kab. Jember","Rp36,000 ","Rp36,000 ","Rp32,650 ","Rp32,650 ","Rp32,350 ","Rp32,000 ","Rp32,000 "
"9","Kab. Sumenep","Rp33,000 ","Rp33,000 ","Rp33,000 ","Rp33,000 ","Rp33,000 ","Rp33,000 ","Rp33,000 "
