"No.","Provinsi","11/17/2022","11/18/2022","11/21/2022","11/22/2022","11/23/2022","11/24/2022","11/25/2022"
"I","JAWA TIMUR","Rp19,200 ","Rp19,150 ","Rp19,100 ","Rp19,100 ","Rp18,950 ","Rp18,900 ","Rp18,950 "
"1","Kota Blitar","Rp18,500 ","Rp18,500 ","Rp18,500 ","Rp18,500 ","Rp18,500 ","Rp18,500 ","Rp18,250 "
"2","Kota Kediri","Rp19,500 ","Rp19,500 ","Rp19,500 ","Rp19,500 ","Rp19,500 ","Rp19,500 ","Rp19,500 "
"3","Kota Madiun","Rp17,250 ","Rp17,250 ","Rp17,500 ","Rp17,500 ","Rp17,500 ","Rp17,500 ","Rp17,500 "
"4","Kota Malang","Rp20,000 ","Rp20,000 ","Rp19,750 ","Rp19,750 ","Rp19,750 ","Rp19,750 ","Rp19,750 "
"5","Kota Probolinggo","Rp17,000 ","Rp17,000 ","Rp17,000 ","Rp17,000 ","Rp17,000 ","Rp17,000 ","Rp17,000 "
"6","Kota Surabaya","Rp24,750 ","Rp24,250 ","Rp24,750 ","Rp25,000 ","Rp23,750 ","Rp23,750 ","Rp24,250 "
"7","Kab. Banyuwangi","Rp19,500 ","Rp19,500 ","Rp18,500 ","Rp18,500 ","Rp18,500 ","Rp18,000 ","Rp18,000 "
"8","Kab. Jember","Rp17,500 ","Rp17,500 ","Rp17,500 ","Rp17,500 ","Rp17,500 ","Rp17,500 ","Rp17,500 "
"9","Kab. Sumenep","Rp18,750 ","Rp18,750 ","Rp18,750 ","Rp18,750 ","Rp18,750 ","Rp18,750 ","Rp18,750 "
