No.,Provinsi,11/17/2022,11/18/2022,11/21/2022,11/22/2022,11/23/2022,11/24/2022,11/25/2022
I,JAWA TIMUR,"Rp11,300 ","Rp11,300 ","Rp11,300 ","Rp11,350 ","Rp11,350 ","Rp11,350 ","Rp11,350 "
1,Kota Blitar,"Rp10,600 ","Rp10,600 ","Rp10,600 ","Rp10,600 ","Rp10,600 ","Rp10,600 ","Rp10,600 "
2,Kota Kediri,"Rp11,150 ","Rp11,150 ","Rp11,200 ","Rp11,150 ","Rp11,150 ","Rp11,150 ","Rp11,150 "
3,Kota Madiun,"Rp11,800 ","Rp11,800 ","Rp11,700 ","Rp11,700 ","Rp11,700 ","Rp11,700 ","Rp11,700 "
4,Kota Malang,"Rp12,050 ","Rp12,050 ","Rp12,050 ","Rp12,050 ","Rp12,050 ","Rp12,050 ","Rp12,050 "
5,Kota Probolinggo,"Rp10,600 ","Rp10,600 ","Rp10,600 ","Rp10,950 ","Rp10,950 ","Rp10,950 ","Rp10,950 "
6,Kota Surabaya,"Rp11,850 ","Rp11,850 ","Rp11,850 ","Rp11,850 ","Rp11,850 ","Rp11,850 ","Rp11,850 "
7,Kab. Banyuwangi,"Rp10,600 ","Rp10,600 ","Rp10,600 ","Rp10,600 ","Rp10,600 ","Rp10,600 ","Rp10,600 "
8,Kab. Jember,"Rp11,400 ","Rp11,400 ","Rp11,400 ","Rp11,400 ","Rp11,400 ","Rp11,450 ","Rp11,450 "
9,Kab. Sumenep,"Rp11,850 ","Rp11,850 ","Rp11,850 ","Rp11,850 ","Rp11,850 ","Rp11,900 ","Rp11,850 "
