No.,Provinsi,11/17/2022,11/18/2022,11/21/2022,11/22/2022,11/23/2022,11/24/2022,11/25/2022
I,JAWA TIMUR,"Rp21,300 ","Rp21,450 ","Rp21,800 ","Rp21,600 ","Rp21,400 ","Rp21,350 ","Rp21,650 "
1,Kota Blitar,"Rp18,400 ","Rp19,500 ","Rp19,250 ","Rp19,000 ","Rp19,000 ","Rp19,500 ","Rp19,650 "
2,Kota Kediri,"Rp27,150 ","Rp26,900 ","Rp25,400 ","Rp25,650 ","Rp24,400 ","Rp24,150 ","Rp23,750 "
3,Kota Madiun,"Rp26,000 ","Rp26,000 ","Rp24,650 ","Rp24,750 ","Rp24,650 ","Rp24,750 ","Rp24,900 "
4,Kota Malang,"Rp26,500 ","Rp26,500 ","Rp25,400 ","Rp25,400 ","Rp25,400 ","Rp25,750 ","Rp25,750 "
5,Kota Probolinggo,"Rp16,500 ","Rp18,000 ","Rp18,000 ","Rp18,000 ","Rp18,000 ","Rp18,000 ","Rp20,000 "
6,Kota Surabaya,"Rp23,000 ","Rp22,000 ","Rp24,400 ","Rp24,650 ","Rp24,400 ","Rp23,750 ","Rp23,750 "
7,Kab. Banyuwangi,"Rp18,000 ","Rp18,000 ","Rp18,750 ","Rp18,250 ","Rp18,250 ","Rp16,250 ","Rp16,250 "
8,Kab. Jember,"Rp21,150 ","Rp21,150 ","Rp22,500 ","Rp21,650 ","Rp20,850 ","Rp20,850 ","Rp20,000 "
9,Kab. Sumenep,"Rp14,900 ","Rp14,900 ","Rp17,650 ","Rp17,250 ","Rp17,500 ","Rp19,000 ","Rp21,000 "
