No.,Provinsi,11/17/2022,11/18/2022,11/21/2022,11/22/2022,11/23/2022,11/24/2022,11/25/2022
I,JAWA TIMUR,"Rp23,750 ","Rp23,950 ","Rp23,850 ","Rp23,600 ","Rp23,400 ","Rp23,050 ","Rp23,000 "
1,Kota Blitar,"Rp25,750 ","Rp26,400 ","Rp25,900 ","Rp25,750 ","Rp25,650 ","Rp25,400 ","Rp26,900 "
2,Kota Kediri,"Rp28,650 ","Rp28,750 ","Rp28,900 ","Rp27,650 ","Rp26,650 ","Rp26,900 ","Rp25,900 "
3,Kota Madiun,"Rp28,750 ","Rp29,000 ","Rp28,100 ","Rp27,900 ","Rp27,150 ","Rp27,150 ","Rp27,000 "
4,Kota Malang,"Rp24,750 ","Rp24,750 ","Rp25,750 ","Rp25,650 ","Rp25,650 ","Rp25,000 ","Rp24,750 "
5,Kota Probolinggo,"Rp25,000 ","Rp25,000 ","Rp24,500 ","Rp25,000 ","Rp25,000 ","Rp25,000 ","Rp23,250 "
6,Kota Surabaya,"Rp26,500 ","Rp27,500 ","Rp27,150 ","Rp26,900 ","Rp26,900 ","Rp26,400 ","Rp25,900 "
7,Kab. Banyuwangi,"Rp24,500 ","Rp24,500 ","Rp23,750 ","Rp23,750 ","Rp23,500 ","Rp22,150 ","Rp21,900 "
8,Kab. Jember,"Rp12,750 ","Rp12,750 ","Rp13,100 ","Rp13,100 ","Rp13,400 ","Rp13,400 ","Rp13,500 "
9,Kab. Sumenep,"Rp17,150 ","Rp16,750 ","Rp17,500 ","Rp16,650 ","Rp16,650 ","Rp15,900 ","Rp17,900 "
